gene_id	tpm_mean
EG10160	31.0833333333
EG10161	1.51666666667
EG10162	1.94333333333
EG10163	86.44
EG10164	1211.96333333
EG10165	1593.95666667
EG10166	17495.6966667
EG10167	54.3666666667
EG10168	45.5133333333
EG10169	171.21
EG10170	315.013333333
EG10172	185.423333333
EG10173	485.126666667
EG10174	325.863333333
EG10175	6.1
EG10176	4.55
EG10177	2.63666666667
EG10178	1837.67
EG10179	1372.19333333
EG10180	1585.96666667
EG10181	1067.97666667
EG10182	913.86
EG10183	14.1666666667
EG10184	174.443333333
EG10185	5.26
EG10186	18.76
EG10187	116.476666667
EG10188	35.6166666667
EG10189	14.52
EG10190	12.61
EG10191	12.9233333333
EG10192	433.49
EG10193	46.53
EG10194	13.99
EG10195	22.9966666667
EG10196	111.63
EG10197	8.80666666667
EG10198	9.33666666667
EG10200	64.0066666667
EG10201	136.74
EG10202	30.15
EG10203	56.9433333333
EG10204	95.6566666667
EG10205	601.27
EG10206	100.883333333
EG10207	593.333333333
EG10208	79.6166666667
EG10209	123.3
EG10210	10.1533333333
EG10211	29.7
EG10212	60.4666666667
EG10213	182.123333333
EG10214	167.866666667
EG10215	311.543333333
EG10216	54.5833333333
EG10217	327.03
EG10218	91.9566666667
EG10219	44.4233333333
EG10220	147.793333333
EG10221	58.5333333333
EG10222	378.26
EG10223	53.04
EG10224	59.04
EG10225	44.6733333333
EG10226	354.726666667
EG10227	5.63
EG10228	1.53333333333
EG10229	25.0633333333
EG10230	478.196666667
EG10231	119.956666667
EG10232	33.1966666667
EG10233	9.37
EG10234	5.63
EG10235	76.0566666667
EG10236	97.83
EG10237	27.57
EG10238	73.4566666667
EG10239	77.6
EG10240	144.87
EG10241	1078.32
EG10242	99.74
EG10243	78.64
EG10244	40.13
EG10245	77.35
EG10246	87.1766666667
EG10247	138.646666667
EG10248	877.703333333
EG10249	26.8
EG10250	6.34666666667
EG10251	127.0
EG10252	1.42333333333
EG10253	1.95333333333
EG10254	66.4466666667
EG10255	65.3666666667
EG10256	154.543333333
EG10257	42.41
EG10258	2136.97333333
EG10259	624.936666667
EG10260	929.526666667
EG10261	425.086666667
EG10262	157.156666667
