Proteins	Genes	Accession-1 of Gene	Common-Name
EG11790-MONOMER	EG11790	b2050	wcaI
EG12876-MONOMER	EG12876	b0969	tusE
GLNP-MONOMER	EG10388	b0810	glnP
G7291-MONOMER	G7291	b2461	eutP
EG11036-MONOMER	EG11036	b3339	tufA
FUCPALDOL-MONOMER	EG10348	b2800	fucA
EG11412-MONOMER	EG11412	b0640	holA
MONOMER0-4396	G0-16690	b4725	rseD
EG11312-MONOMER	EG11312	b3638	yicR
CHER-MONOMER	EG10148	b1884	cheR
EG10454-MONOMER	EG10454	b2318	truA
TAGAALDOL1-MONOMER	EG12768	b3137	kbaY
G7364-MONOMER	G7364	b2629	yfjM
SUCCGLUALDDEHYD-MONOMER	G6942	b1746	astD
EG11178-MONOMER	EG11178	b3167	rbfA
MONOMER0-4426	G0-16743	b4749	ynfR
G7890-MONOMER	G7890	b4263	yjgR
EG11652-MONOMER	EG11652	b3235	degS
HEMX-MONOMER	EG10433	b3803	hemX
G6147-MONOMER	G6147	b0276	yagJ
EG10270-MONOMER	EG10270	b2566	era
MHPHYDROXY-MONOMER	M010	b0347	mhpA
EG12177-MONOMER	EG12177	b4137	cutA
EG11656-MONOMER	EG11656	b1940	fliH
EG12658-MONOMER	EG12658	b3026	qseC
G360-MONOMER	G360	b1075	flgD
EG10893-MONOMER	EG10893	b3295	rpoA
GLUTCYSLIG-MONOMER	EG10418	b2688	gshA
EG11071-MONOMER	EG11071	b2894	xerD
EG10018-MONOMER	EG10018	b3252	csrD
EG11538-MONOMER	EG11538	b2575	yfiC
EG12117-MONOMER	EG12117	b0814	ompX
NANK-MONOMER	G7676	b3222	nanK
G7651-MONOMER	G7651	b3157	ubiT
G6918-MONOMER	G6918	b1695	ydiO
G7729-MONOMER	G7729	b3377	yhfT
B2246-MONOMER	G7159	b2246	yfaV
G6812-MONOMER	G6812	b1526	ptrR
EG10021-MONOMER	EG10021	b4352	yjiA
EG10312-MONOMER	EG10312	b4313	fimE
EG12312-MONOMER	EG12312	b0103	coaE
RSTA-MONOMER	G6864	b1608	rstA
ARGSUCCTRAN-MONOMER	G6943	b1747	astA
CHD-MONOMER	EG10109	b0311	betA
G6936-MONOMER	G6936	b1731	cedA
EG10985-MONOMER	EG10985	b0053	surA
G7670-MONOMER	G7670	b3216	yhcD
EG12693-MONOMER	EG12693	b1813	nudL
URIDYLYL-PII	EG10384	b2553	glnB
EG12407-MONOMER	EG12407	b0828	iaaA
G6435-MONOMER	G6435	b0835	rimO
G6189-MONOMER	G6189	b0324	yahJ
EG11852-MONOMER	EG11852	b3887	dtd
EG10203-MONOMER	EG10203	b0839	dacC
G7214-MONOMER	G7214	b2343	yfcZ
PD00288	EG10457	b1237	hns
PEPCARBOX-MONOMER	EG10756	b3956	ppc
EG11139-MONOMER	EG11139	b1908	yecA
EG11112-MONOMER	EG11112	b0885	aat
YHCL-MONOMER	G7679	b3227	dcuD
G7024-MONOMER	G7024	b1874	cutC
NAPG-MONOMER	EG12064	b2205	napG
EG10697-MONOMER	EG10697	b2908	pepP
G7181-MONOMER	G7181	b2274	yfbO
MONOMER0-4503	G0-17037	b4791	yriA
G7900-MONOMER	G7900	b4278	insG
PD03867	EG10819	b3753	rbsR
PHOSPHO-CHEB	EG10147	b1883	cheB
G7487-MONOMER	G7487	b2868	xdhC
G6121-MONOMER	G6121	b0246	yafW
EG11121-MONOMER	EG11121	b1253	yciA
G7395-MONOMER	G7395	b2665	kbp
EG11209-MONOMER	EG11209	b4030	psiE
GLCNACPTRANS-MONOMER	EG10840	b3784	rfe
PHOSPHO-RCSB	EG10821	b2217	rcsB
EG12017-MONOMER	EG12017	b2136	yohD
GLUTSEMIALDEHYDROG-MONOMER	EG10767	b0243	proA
G7008-MONOMER	G7008	b1835	rsmF
EG11101-MONOMER	EG11101	b0476	aes
EG11413-MONOMER	EG11413	b4259	holC
G6655-MONOMER	G6655	b1317	ycjU
ASPDECARBOX-MONOMER	EG11747	b0131	panD
LYSS-MONOMER	EG10552	b2890	lysS
G7106-MONOMER	G7106	b2061	wzb
PHOSPHAGLYPSYN-MONOMER	EG10706	b1912	pgsA
EG10083-MONOMER	EG10083	b0390	aroM
UDP-NACMURALA-GLU-LIG-MONOMER	EG10620	b0088	murD
MONOMER0-4292	EG12147	b3206	npr
G7910-MONOMER	G7910	b4297	yjhG
G6474-MONOMER	G6474	b0926	mepK
EG11533-MONOMER	EG11533	b1205	ychH
G6345-MONOMER	G6345	b0619	dpiB
EG12454-MONOMER	EG12454	b0481	ybaK
B1775-MONOMER	G6962	b1775	ydjK
CYCA-MONOMER	EG12504	b4208	cycA
EG10230-MONOMER	EG10230	b0145	dksA
EG11928-MONOMER	EG11928	b4045	yjbJ
G7317-MONOMER	G7317	b2506	yfgI
CHORISMUTPREPHENDEHYDRAT-MONOMER	EG10707	b2599	pheA
EG12865-MONOMER	EG12865	b1426	ydcH
EG10126-MONOMER	EG10126	b3966	btuB
MONOMER0-1603	G0-9607	b4423	ldrC
G6625-MONOMER	G6625	b1196	ycgY
EG10474-MONOMER	EG10474	b2725	hycA
EG10505-MONOMER	EG10505	b3168	infB
EG10487-MONOMER	EG10487	b2730	hypE
PHENDEHYD-MONOMER	G7961	b1385	feaB
MONOMER0-2873	G0-10646	b4674	ynbG
EG11083-MONOMER	EG11083	b0059	rapA
FABA-MONOMER	EG10273	b0954	fabA
G6867-MONOMER	G6867	b1618	uidR
UDK-MONOMER	EG11701	b2066	udk
YHFM-MONOMER	EG12908	b3370	frlA
EG11966-MONOMER	EG11966	b4116	adiY
G6569-MONOMER	G6569	b1111	comR
G6230-MONOMER	G6230	b0387	yaiI
EG10680-MONOMER	EG10680	b1482	osmC
EG11173-MONOMER	EG11173	b3120	yhaB
EG12717-MONOMER	EG12717	b3068	mug
G6976-MONOMER	G6976	b1790	nimR
MONOMER0-761	G0-8887	b4598	yncL
EG10004-MONOMER	EG10004	b3639	dfp
G6539-MONOMER	G6539	b1033	ghrA
G7776-MONOMER	G7776	b3557	insJ
EG11765-MONOMER	EG11765	b3598	yibI
G7521-MONOMER	G7521	b2939	yqgB
G6427-MONOMER	G6427	b0824	ybiY
EG10892-MONOMER	EG10892	b3703	rpmH
LIVK-MONOMER	EG10540	b3458	livK
G6693-MONOMER	G6693	b1370	insH5
EG11288-MONOMER	EG11288	b0394	mak
EG12433-MONOMER	EG12433	b1269	rluB
NUOG-MONOMER	EG12087	b2283	nuoG
EG11509-MONOMER	EG11509	b0012	mbiA
EG11130-MONOMER	EG11130	b1562	hokD
EG10229-MONOMER	EG10229	b2321	flk
G6312-MONOMER	G6312	b0557	borD
EG12703-MONOMER	EG12703	b1003	yccJ
G6548-MONOMER	G6548	b1043	csgC
BCR-MONOMER	EG11419	b2182	bcr
G6810-MONOMER	G6810	b1524	glsB
EG11695-MONOMER	EG11695	b3675	yidG
EG11776-MONOMER	EG11776	b0686	ybfF
G6922-MONOMER	G6922	b1699	ydiS
EG11719-MONOMER	EG11719	b3696	yidX
GLTJ-MONOMER	EG12661	b0654	gltJ
G7621-MONOMER	G7621	b3107	yhaL
G7165-MONOMER	G7165	b2252	ais
G7000-MONOMER	G7000	b1824	yobF
EG11333-MONOMER	EG11333	b2906	ubiI
G6228-MONOMER	G6228	b0379	yaiY
MONOMER0-4504	G0-17038	b4792	yriB
G7866-MONOMER	G7866	b4209	ytfE
G6543-MONOMER	G6543	b1037	csgG
EG10941-MONOMER	EG10941	b3591	selA
SMALLILVN-MONOMER	EG10502	b3670	ilvN
G6999-MONOMER	G6999	b1821	mntP
EG12859-MONOMER	EG12859	b1424	opgD
EG11889-MONOMER	EG11889	b3507	dctR
EG10603-MONOMER	EG10603	b2684	mprA
HISS-MONOMER	EG10453	b2514	hisS
G6246-MONOMER	G6246	b0446	cof
RHTC-MONOMER	EG11468	b3823	rhtC
G6362-MONOMER	G6362	b0659	ybeY
EG11081-MONOMER	EG11081	b0029	ispH
MONOMER0-2670	G0-10448	b4527	ydaF
G6617-MONOMER	G6617	b1180	ycgM
PPPGPPHYDRO-MONOMER	EG10413	b3779	gpp
YJCX-MONOMER	EG12458	b4088	alsB
EG10915-MONOMER	EG10915	b2609	rpsP
ASPKINIII-MONOMER	EG10550	b4024	lysC
MALATE-SYNTHASE	EG10023	b4014	aceB
EG11812-MONOMER	EG11812	b4186	yjfC
ZNUC-MONOMER	G7018	b1858	znuC
MONOMER0-2813	G0-10584	b4588	ylcH
EG11784-MONOMER	EG11784	b2579	grcA
EG12235-MONOMER	EG12235	b3501	arsR
EG11126-MONOMER	EG11126	b1258	yciF
FRUA-MONOMER	EG10336	b2167	fruA
PHOSPHO-BAER	EG11618	b2079	baeR
EG10888-MONOMER	EG10888	b3302	rpmD
EG10859-MONOMER	EG10859	b1084	rne
EG10901-MONOMER	EG10901	b0169	rpsB
G7769-MONOMER	G6134	b0259	insH1
G7872-MONOMER	G7872	b4217	ytfK
MONOMER0-2812	G0-10583	b4586	ykfM
GLYCRIBONUCSYN-MONOMER	EG10792	b4005	purD
PHOP-MONOMER	EG10731	b1130	phoP
EG10252-MONOMER	EG10252	b3076	ebgA
G6964-MONOMER	G6964	b1777	yeaC
G7191-MONOMER	G7191	b2299	yfcD
S-ADENMETSYN-MONOMER	EG10589	b2942	metK
MONOMER0-2868	G0-10641	b4669	ilvX
G6482-MONOMER	G6482	b0940	elfC
EG10570-MONOMER	EG10570	b0168	map
G6208-MONOMER	G6208	b0355	frmB
EG11731-MONOMER	EG11731	b3746	ravA
EG12713-MONOMER	EG12713	b1473	yddG
ATPG-MONOMER	EG10104	b3733	atpG
EG13236-MONOMER	EG13236	b0732	mngB
EG11479-MONOMER	EG11479	b3839	tatC
G7448-MONOMER	G7448	b2790	yqcA
G7286-MONOMER	G7286	b2456	eutN
PGMI-MONOMER	EG12296	b3612	gpmM
PHOSPHOGLUCMUT-MONOMER	EG12144	b0688	pgm
EG11238-MONOMER	EG11238	b0773	ybhB
G7707-MONOMER	G7707	b3329	gspH
G7852-MONOMER	G7852	b4189	bsmA
EG10607-MONOMER	EG10607	b0634	mrdB
EG10284-MONOMER	EG10284	b3891	fdhE
HOMOSERKIN-MONOMER	EG10999	b0003	thrB
ALTRODEHYDRAT-MONOMER	EG12734	b3091	uxaA
G7385-MONOMER	G7385	b2650	ypjC
MHPF-MONOMER	M014	b0351	mhpF
EG12209-MONOMER	EG12209	b0624	crcB
G6967-MONOMER	G6967	b1781	yeaE
G7453-MONOMER	G7453	b2809	ygdI
G7652-MONOMER	G7652	b3158	ubiU
EG10828-MONOMER	EG10828	b3700	recF
ASNSYNA-MONOMER	EG10091	b3744	asnA
MONOMER0-4226	G7761	b3444	insA6
G6186-MONOMER	G6186	b0321	yahG
G6434-MONOMER	G6434	b0834	dgcI
YRBE-MONOMER	EG12800	b3194	mlaE
EG12702-MONOMER	EG12702	b0901	ycaK
G6355-MONOMER	G6355	b0648	ybeU
VALS-MONOMER	EG11067	b4258	valS
MONOMER0-4214	G0-10707	b4703	pmrR
EG11832-MONOMER	EG11832	b3861	yihF
SMALLILVM-MONOMER	EG10501	b3769	ilvM
EG10523-MONOMER	EG10523	b0051	rsmA
B2789-MONOMER	G7447	b2789	gudP
HYDROPEROXIDII-MONOMER	EG10509	b1732	katE
EG11010-MONOMER	EG11010	b0737	tolQ
EG11892-MONOMER	EG11892	b2009	sbmC
EG11023-MONOMER	EG11023	b2607	trmD
G7422-MONOMER	G7422	b2745	truD
FUM-FLAVO	EG10330	b4154	frdA
G7206-MONOMER	G7206	b2335	yfcR
EG11922-MONOMER	EG11922	b4023	yjbD
YFEP-MONOMER	G7254	b2392	mntH
EG10397-MONOMER	EG10397	b3424	glpG
MMUM-MONOMER	G6136	b0261	mmuM
EG12204-MONOMER	EG12204	b1823	cspC
YJJK-MONOMER	EG12343	b4391	ettA
PHOSPHO-PHOB	EG10728	b0399	phoB
MTR-MONOMER	EG10617	b3161	mtr
LSERINEDEAM1-MONOMER	EG10930	b1814	sdaA
EG12274-MONOMER	EG12274	b3561	wecH
G6291-MONOMER	G6291	b0531	sfmC
EG11526-MONOMER	EG11526	b1460	ydcC
EG12313-MONOMER	EG12313	b0102	zapD
MONOMER0-4390	G0-16685	b4722	idlP
EG11440-MONOMER	EG11440	b3287	def
YIIP-MONOMER	EG11873	b3915	fieF
EG12378-MONOMER	EG12378	b1867	yecD
MONOMER0-4436	G0-16674	b4688	ykgS
G7434-MONOMER	G7434	b2768	ygcP
EG10986-MONOMER	EG10986	b3549	tag
EG12265-MONOMER	EG12265	b3538	bcsG
EG11447-MONOMER	EG11447	b2696	csrA
EG10869-MONOMER	EG10869	b3305	rplF
CHORPYRLY-MONOMER	EG11369	b4039	ubiC
G7614-MONOMER	G7614	b3100	yqjK
EG12334-MONOMER	EG12334	b0158	btuF
ACETYLORNDEACET-MONOMER	EG11286	b3957	argE
YBBL-MONOMER	G6266	b0490	fetA
G7916-MONOMER	G7916	b4306	yjhP
EG10762-MONOMER	EG10762	b2891	prfB
YNFJ-MONOMER	G6850	b1592	clcB
EG10874-MONOMER	EG10874	b3231	rplM
EG11884-MONOMER	EG11884	b1430	tehB
MONOMER0-4510	G0-17042	b4796	yibY
MONOMER0-4234	G6308	b0552	insH2
NAG6PDEACET-MONOMER	EG10632	b0677	nagA
YCJP-MONOMER	G6650	b1312	ycjP
YEJB-MONOMER	EG12038	b2178	yejB
CPM-KDOSYNTH-MONOMER	EG10519	b0918	kdsB
YIDT-MONOMER	EG20053	b3691	dgoT
EG10311-MONOMER	EG10311	b4317	fimD
G7189-MONOMER	G7189	b2295	yfbV
EG10670-MONOMER	EG10670	b2215	ompC
EG11124-MONOMER	EG11124	b1256	ompW
G6586-MONOMER	G6586	b1142	ymfH
NAGE-MONOMER	EG10635	b0679	nagE
EG11472-MONOMER	EG11472	b3832	rmuC
G6612-MONOMER	G6612	b1172	ymgG
CCMB-MONOMER	EG12058	b2200	ccmB
G7615-MONOMER	G7615	b3101	yqjF
EG11524-MONOMER	EG11524	b0706	ybfD
BTUE-MONOMER	EG10129	b1710	btuE
G6582-MONOMER	G6582	b1137	ymfD
MONOMER0-4544	G0-17091	b4816	ymgN
ALAS-CPLX	EG10034	b2697	alaS
ALTRO-OXIDOREDUCT-MONOMER	EG11065	b1521	uxaB
B3659-MONOMER	EG11687	b3659	setC
G7313-MONOMER	G7313	b2496	hda
G7160-MONOMER	G7160	b2247	rhmD
G7605-MONOMER	G7605	b3086	ygjQ
EG11222-MONOMER	EG11222	b2068	alkA
MONOMER0-2687	G0-10465	b4550	arfA
EG10310-MONOMER	EG10310	b4316	fimC
PHEP-MONOMER	EG10708	b0576	pheP
YCBM-MONOMER	G6476	b0934	ssuC
GALPMUT-MONOMER	EG11981	b2036	glf
SAPF-MONOMER	EG12305	b1290	sapF
FLGI-FLAGELLAR-P-RING	G365	b1080	flgI
G7312-MONOMER	G7312	b2495	yfgD
YBBA-MONOMER	EG11657	b0495	ybbA
EG12026-MONOMER	EG12026	b2154	yeiG
G7578-MONOMER	G7578	b3031	yqiA
EG10011-MONOMER	EG10011	b0006	yaaA
MDLA-MONOMER	G6248	b0448	mdlA
MONOMER0-2874	G0-10647	b4680	ypdK
POTA-MONOMER	EG10749	b1126	potA
EG11999-MONOMER	EG11999	b2120	yehM
EG11702-MONOMER	EG11702	b3996	nudC
G6674-MONOMER	G6674	b1342	zntB
G6562-MONOMER	G6562	b1070	flgN
EG11769-MONOMER	EG11769	b0498	ybbC
EG10612-MONOMER	EG10612	b4351	mrr
EG11563-MONOMER	EG11563	b0042	fixB
ENTC-MONOMER	EG10261	b0593	entC
EG11123-MONOMER	EG11123	b1255	yciC
MONOMER0-4443	G6533	b1026	insF4
GLYC3PDEHYDROGBIOSYN-MONOMER	EG20091	b3608	gpsA
EG11512-MONOMER	EG11512	b0010	satP
G7640-MONOMER	G7640	b3145	yraK
MONOMER0-4516	G0-17048	b4802	ythB
PROTEIN-NRII	EG10387	b3869	glnL
G7435-MONOMER	G7435	b2769	ygcQ
G7010-MONOMER	G7010	b1837	yebW
G7210-MONOMER	G7210	b2339	yfcV
TREHALAPERI-MONOMER	EG11017	b1197	treA
G6276-MONOMER	G6276	b0506	allR
G7467-MONOMER	G7467	b2847	yqeI
EG10698-MONOMER	EG10698	b3847	pepQ
AMYLOMALT-MONOMER	EG10561	b3416	malQ
PD00763	EG10525	b0345	lacI
G6532-MONOMER	G6532	b1025	dgcT
MONOMER0-4142	EG11393	b1185	dsbB
G6915-MONOMER	G6915	b1689	ydiL
GPH-MONOMER	EG11871	b3385	gph
G6727-MONOMER	G6727	b1408	ynbA
DTMPKI-MONOMER	EG12302	b1098	tmk
G6578-MONOMER	G6578	b1121	ycfZ
EG10662-MONOMER	EG10662	b1633	nth
EG10951-MONOMER	EG10951	b4387	ytjB
EG10571-MONOMER	EG10571	b2783	mazE
EG10280-MONOMER	EG10280	b2344	fadL
G6818-MONOMER	G6818	b1544	ydfK
EG10168-MONOMER	EG10168	b0657	lnt
YCFW-MONOMER	G6575	b1118	lolE
G6955-MONOMER	G6955	b1760	ynjH
FUMB-MONOMER	EG10357	b4122	fumB
G7869-MONOMER	G7869	b4212	ytfH
EG11137-MONOMER	EG11137	b1864	yebC
G7514-MONOMER	G7514	b2902	ygfF
EG12132-MONOMER	EG12132	b2528	iscA
MONOMER0-4243	G6296	b0540	insE3
RIB5PISOMA-MONOMER	EG11443	b2914	rpiA
G7231-MONOMER	G7231	b2362	yfdS
G7201-MONOMER	G7201	b2326	epmC
G6959-MONOMER	G6959	b1772	ydjH
EG11705-MONOMER	EG11705	b3678	yidJ
POTI-MONOMER	EG11632	b0857	potI
AKBLIG-MONOMER	EG10512	b3617	kbl
LIPIDADISACCHARIDESYNTH-MONOMER	EG10546	b0182	lpxB
G6520-MONOMER	G6520	b1009	rutD
THIE-MONOMER	EG11586	b3993	thiE
MONOMER0-1981	EG10208	b2472	dapE
G6258-MONOMER	G6258	b0482	ybaP
MONOMER0-2691	G0-10469	b4555	yicS
G6416-MONOMER	G6416	b0807	rlmF
PHOSGLUCOSAMINEMUT-MONOMER	EG11553	b3176	glmM
YJHF-MONOMER	EG12548	b4296	yjhF
G6282-MONOMER	G6282	b0513	ybbY
G7664-MONOMER	G7664	b3199	lptC
FUCISOM-MONOMER	EG10349	b2802	fucI
LYSDECARBOX-MONOMER	EG10131	b4131	cadA
PD00345	EG10972	b2706	gutM
EG12260-MONOMER	EG12260	b3533	bcsA
G6315-MONOMER	G6315	b0561	tfaD
G7494-MONOMER	G7494	b2875	yqeB
CHAINF-MONOMER	EG10067	b0273	argF
SUGE-MONOMER	EG11616	b4148	gdx
G7694-MONOMER	G7694	b3263	yhdU
G7139-MONOMER	G7139	b2107	rcnB
G7928-MONOMER	G7928	b4331	kptA
SGCB-MONOMER	EG12557	b4305	sgcX
G7490-MONOMER	G7490	b2871	ygeX
KEFC-MONOMER	EG10521	b0047	kefC
G6564-MONOMER	G6564	b1104	ycfL
MONOMER0-4551	G0-17098	b4824	ytjE
G6549-MONOMER	G6549	b1044	ymdA
PORPHOBILSYNTH-MONOMER	EG10428	b0369	hemB
PANTOTHENATE-KIN-MONOMER	EG10922	b3974	coaA
G7558-MONOMER	G7558	b3001	gpr
G7629-MONOMER	G7629	b3130	yhaV
MONOMER0-4422	G0-16739	b4745	yncO
EG11415-MONOMER	EG11415	b0812	dps
EG11902-MONOMER	EG11902	b3943	yijE
EG12347-MONOMER	EG12347	b1917	tcyN
RNTRACTIV-MONOMER	G812	b4237	nrdG
G6185-MONOMER	G6185	b0320	yahF
EG11430-MONOMER	EG11430	b1128	roxA
BADH-MONOMER	EG10110	b0312	betB
EG11391-MONOMER	EG11391	b4376	osmY
PHOSPHO-OMPR-MONOMER	EG10672	b3405	ompR
DSBC-MONOMER	EG11070	b2893	dsbC
YRAO-MONOMER	EG12780	b3149	diaA
MYRISTOYLACYLTRAN-MONOMER	EG10614	b1855	lpxM
EG11167-MONOMER	EG11167	b3040	zupT
AROH-MONOMER	EG10080	b1704	aroH
PD04032	EG10588	b3938	metJ
G6697-MONOMER	G6697	b1374	pinR
G7101-MONOMER	G7101	b2056	wcaD
G7940-MONOMER	G7940	b4347	symE
EG12843-MONOMER	EG12843	b0468	ybaN
G7417-MONOMER	G7417	b2736	ygbJ
MONOMER0-4195	EG10374	b3447	ggt
YCHM-MONOMER	EG12392	b1206	dauA
EG11360-MONOMER	EG11360	b3570	bax
PD00967	EG10050	b0564	appY
G6974-MONOMER	G6974	b1788	yoaI
EG12277-MONOMER	EG12277	b3573	ysaA
G7348-MONOMER	G7348	b2571	rseB
UGPC-MONOMER	EG11048	b3450	ugpC
G7502-MONOMER	G7502	b2883	guaD
NADH-DHII-MONOMER	EG10649	b1109	ndh
G7337-MONOMER	G7337	b2543	yphA
G7636-MONOMER	G7636	b3141	agaI
G7178-MONOMER	G7178	b2271	yfbL
HISTCYCLOPRATPPHOS	EG10451	b2026	hisI
EG11692-MONOMER	EG11692	b3665	adeD
EG12708-MONOMER	EG12708	b0527	ybcI
MONOMER0-2880	G0-10653	b4663	azuC
EG12446-MONOMER	EG12446	b2602	yfiL
G6883-MONOMER	G6883	b1643	ydhI
G7563-MONOMER	G7563	b3010	yqhC
MONOMER0-2876	G0-10649	b4676	yoaK
EG12397-MONOMER	EG12397	b0944	ycbF
G6198-MONOMER	G6198	b0333	prpC
G6671-MONOMER	G6671	b1339	abgR
EG10906-MONOMER	EG10906	b3341	rpsG
CYDB-MONOMER	EG10174	b0734	cydB
AAS-MONOMER	EG11679	b2836	aas
EG10530-MONOMER	EG10530	b2568	lepB
G6236-MONOMER	G6236	b0419	yajO
ASNS-CPLX	EG10094	b0930	asnS
NARZ-MONOMER	EG10648	b1468	narZ
CMTA-MONOMER	EG11792	b2933	cmtA
G6261-MONOMER	G6261	b0485	glsA
G7269-MONOMER	G7269	b2434	ypeA
FRVB-MONOMER	EG11863	b3899	frvB
EG11069-MONOMER	EG11069	b3811	xerC
EG12182-MONOMER	EG12182	b0434	yajG
YICJ-MONOMER	EG11686	b3657	yicJ
G6903-MONOMER	G6903	b1675	fumD
EG10047-MONOMER	EG10047	b0050	apaG
EG10914-MONOMER	EG10914	b3165	rpsO
G6696-MONOMER	G6696	b1373	tfaR
EG11722-MONOMER	EG11722	b3712	yieE
EG12283-MONOMER	EG12283	b3579	yiaO
G6275-MONOMER	G6275	b0505	allA
EG11935-MONOMER	EG11935	b4056	yjbQ
TAP-MONOMER	EG10987	b1885	tap
G6555-MONOMER	G6555	b1058	yceO
G6815-MONOMER	G6815	b1541	ydfZ
EG11356-MONOMER	EG11356	b1921	fliZ
RHTB-MONOMER	EG11469	b3824	rhtB
G6173-MONOMER	G6173	b0303	rclB
G7016-MONOMER	G7016	b1844	exoX
G6405-MONOMER	G6405	b0788	ybhN
G6928-MONOMER	G6928	b1722	ydiY
GALACTURIDYLYLTRANS-MONOMER	EG10366	b0758	galT
MONOMER0-2811	EG10873	b3986	rplL
EG12624-MONOMER	EG12624	b3555	yiaG
YEEO-MONOMER	G7070	b1985	yeeO
MONOMER0-4445	G7029	b1893	insB5
MONOMER0-4414	G0-16732	b4737	ymdG
G7613-MONOMER	G7613	b3099	yqjE
EG11162-MONOMER	EG11162	b2929	fumE
G6487-MONOMER	G6487	b0947	ycbX
G7283-MONOMER	G7283	b2453	eutG
EG10424-MONOMER	EG10424	b3699	gyrB
EG11182-MONOMER	EG11182	b3356	yhfA
DCTA-MONOMER	EG20044	b3528	dctA
HMP-P-KIN-MONOMER	G7135	b2103	thiD
G7207-MONOMER	G7207	b2336	yfcS
G6621-MONOMER	G6621	b1192	ldcA
ABGT-MONOMER	EG12853	b1336	abgT
TRPS-MONOMER	EG11030	b3384	trpS
RIBF-MONOMER	EG11079	b0025	ribF
MONOMER0-4430	G0-16746	b4752	yecU
G7022-MONOMER	G7022	b1872	torZ
EG10718-MONOMER	EG10718	b4099	phnI
GUANYL-KIN-MONOMER	EG10965	b3648	gmk
EG10626-MONOMER	EG10626	b0099	mutT
G6885-MONOMER	G6885	b1645	ydhK
BIOTIN-SYN-MONOMER	EG10118	b0775	bioB
MONOMER0-4500	G0-17034	b4788	yhgO
G6798-MONOMER	G6798	b1511	lsrK
MONOMER0-2857	G0-10631	b4665	ibsC
EG11085-MONOMER	EG11085	b0082	rsmH
G7431-MONOMER	G7431	b2765	queD
G7580-MONOMER	G7580	b3033	yqiB
EG11972-MONOMER	EG11972	b0139	htrE
ARGT-MONOMER	EG10072	b2310	argT
EG11450-MONOMER	EG11450	b3764	maoP
FDNI-MONOMER	EG11229	b1476	fdnI
MONOMER0-82	G6666	b1330	ynaI
G6949-MONOMER	G6949	b1754	ynjB
EG11726-MONOMER	EG11726	b3716	cbrB
H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER	EG11138	b1865	nudB
EG11094-MONOMER	EG11094	b0398	sbcD
HYBC-MONOMER	EG11801	b2994	hybC
MONOMER0-2860	G0-10634	b4687	shoB
G6141-MONOMER	G6141	b0269	yagF
CITTRANS-MONOMER	G6341	b0615	citF
MONOMER0-1602	G0-9605	b4421	ldrB
G7483-MONOMER	G7483	b2863	ygeQ
EG10344-MONOMER	EG10344	b0089	ftsW
MONOMER0-2883	G0-10656	b4684	yqfG
G7601-MONOMER	G7601	b3082	higA
PUTP-MONOMER	EG10802	b1015	putP
YJCG-MONOMER	EG11942	b4067	actP
MONOMER0-4293	EG11682	b3204	ptsN
EG12069-MONOMER	EG12069	b2210	mqo
EG10145-MONOMER	EG10145	b4400	creD
ATOC-MONOMER	EG11668	b2220	atoC
G7829-MONOMER	G7829	b4127	yjdJ
YDEX-MONOMER	G6800	b1513	lsrA
EG12097-MONOMER	EG12097	b2593	yfiH
G7244-MONOMER	G7244	b2381	pyrR
LSERINEDEAM2-MONOMER	EG11623	b2797	sdaB
BCCP-MONOMER	EG10275	b3255	accB
NICOTINATEPRIBOSYLTRANS-MONOMER	EG10742	b0931	pncB
G7889-MONOMER	G7889	b4262	lptG
G6717-MONOMER	G6717	b1396	paaI
G6122-MONOMER	G6122	b0247	ykfG
ENVZ-MONOMER	EG10269	b3404	envZ
G6304-MONOMER	G6304	b0548	ninE
MONOMER0-4252	G7481	b2861	insC4
EG12167-MONOMER	EG12167	b0921	cmoM
G6273-MONOMER	G6273	b0502	ylbG
ACNEULY-MONOMER	EG10637	b3225	nanA
EG12243-MONOMER	EG12243	b3516	gadX
CPDB-MONOMER	EG10160	b4213	cpdB
MONOMER0-1842	EG11747	b0131	panD
G7622-MONOMER	G7622	b4470	cyuA
G6866-MONOMER	G6866	b1615	uidC
G6354-MONOMER	G6354	b0647	ybeT
PSD-MONOMER	EG10775	b4160	psd
EG11985-MONOMER	EG11985	b2032	wbbK
EG12455-MONOMER	EG12455	b2835	lplT
EG12327-MONOMER	EG12327	b0138	yadM
G6712-MONOMER	G6712	b1391	paaD
MONOMER0-2829	G0-10607	b4621	yjbS
G7402-MONOMER	G7402	b2674	nrdI
G6552-MONOMER	G6552	b1047	opgC
G6679-MONOMER	G6679	b1355	ydaG
CYTDEAM-MONOMER	EG11326	b0337	codA
G7084-MONOMER	G7084	b2004	cbeA
EG11939-MONOMER	EG11939	b4064	ghxP
PHOSPHASERSYN-MONOMER	EG10781	b2585	pssA
G6370-MONOMER	G6370	b0681	chiP
GLUSYNSMALL-MONOMER	EG10404	b3213	gltD
PEPCARBOXYKIN-MONOMER	EG10688	b3403	pck
G6518-MONOMER	G6518	b1007	rutF
EG11838-MONOMER	EG11838	b3872	yihL
G7109-MONOMER	G7109	b2070	yegI
G6980-MONOMER	G6980	b1794	dgcP
G6594-MONOMER	G6594	b1150	ymfR
EG10855-MONOMER	EG10855	b0641	lptE
G7179-MONOMER	G7179	b2272	yfbM
