Accession Number,Gene Name
AAC77021.1,qorA
AAC73236.2,hpt
AAC76374.1,slyD
AAC75726.1,proX
AAC73202.1,murC
AAC73170.1,rapA
AAC74192.2,ycfP
AAC73936.1,grxA
AAC73586.1,copA
AAC75617.1,pdxJ
AAC76221.1,murA
AAC73806.1,pxpC
AAC76012.1,glcB
AAC76105.1,nfeF
AAC73188.2,ilvI
AAC74734.1,ribC
AAC74390.1,pspE
AAC76552.1,yhjJ
AAT48211.1,wecB
AAC76753.1,glmU
AAC74004.1,kdsB
AAC76850.1,pepQ
AAC74506.3,opgD
AAC74344.3,trpC
AAC73272.1,degP
AAC75792.1,cysC
AAC75165.1,thiM
AAC76078.2,ubiK
AAC76966.2,thiF
AAC73922.1,rimO
AAC75629.1,srmB
AAC75827.1,rlmD
AAC76455.1,glgC
AAC75866.1,thyA
AAC77121.2,rsgA
AAC75484.2,yfeX
AAC74623.2,gnsB
AAC76048.2,dkgA
AAC74528.1,ydcY
AAC73835.1,pal
AAC75553.1,purN
AAC75857.1,argA
AAC74329.1,oppF
AAC73884.1,rhlE
AAC74918.1,yebG
AAC73906.1,ldtB
AAC74003.1,ycaR
AAC73364.1,mmuM
AAC74187.1,hinT
AAC76261.1,sspA
AAC76861.1,polA
AAC73159.1,folA
AAC74909.1,yebY
AAC77190.1,mpl
AAC73596.1,tesA
AAC74827.2,ynjE
AAC74284.2,dhaK
AAC75642.1,yfiH
AAC75787.1,truD
AAC73292.1,lpxA
AAC75194.1,dld
AAC73996.1,cmk
AAC73625.1,purE
AAC73529.2,yajQ
AAC73326.1,gmhA
AAC74757.1,ydiJ
AAC74658.2,ynfD
AAC74946.1,argS
AAC73516.1,nrdR
AAC74118.1,ycdX
AAC73732.1,ybeD
AAC74714.2,slyA
AAC73991.2,ycaO
AAC73844.1,galK
AAC76430.1,ompR
AAC73496.1,rdgC
AAC76065.1,ygiN
AAC76944.2,sthA
AAC75087.1,hisI
AAC77069.1,yjdM
AAC73525.1,xseB
AAC77345.2,slt
AAC76580.1,cspA
AAC74522.1,ydcS
AAC74722.1,nemA
AAT48226.1,ysgA
AAC74345.1,trpD
AAC75447.1,glk
AAC75804.1,cysH
AAC74780.1,btuE
AAC74015.1,ompF
AAC77049.1,alsB
AAC73628.1,cysS
AAC74212.2,roxA
AAT48137.1,katE
AAC75584.1,iscR
AAC76064.1,mdaB
AAC73693.1,fepB
AAC76785.1,rhlB
AAC74295.1,prfA
AAC73540.1,clpP
AAC74737.1,ydhR
AAC73342.1,gpt
AAC75643.1,rluD
AAC74897.1,kdgR
AAC74902.2,msrC
AAC76584.1,glyQ
AAC73341.1,pepD
AAC75547.1,bepA
AAC75877.1,lysA
AAC75708.1,gabD
AAC74496.1,ydcF
AAC76210.1,ftsH
AAC73840.1,ybgS
AAC75659.1,ffh
AAC73847.1,modF
AAC73836.1,cpoB
AAC74494.1,azoR
AAC75346.2,nuoC
AAC75400.1,sixA
AAT48227.1,ubiE
AAC74264.1,ycgM
AAC76693.1,ilvN
AAC75622.1,lepA
AAC74989.1,fliA
AAC75292.1,ubiG
AAC73898.1,glnH
AAC75164.1,thiD
AAC75097.1,glf
AAC73347.1,proA
AAC75586.1,suhB
AAC76453.1,glgP
AAC75939.1,bglA
AAC76906.1,fpr
