fba_id,base_id
RXN-19312-CPD0-2148/WATER//DODECANOATE/L-1-GLYCEROPHOSPHORYLETHANOL-AMINE/PROTON.71.,RXN-19312
RXN-19312-CPD0-2152/WATER//STEARIC_ACID/L-1-GLYCEROPHOSPHORYLETHANOL-AMINE/PROTON.72.,RXN-19312
RXN-19342,RXN-19342
RXN-19343,RXN-19343
RXN-19492,RXN-19492
RXN-19492 (reverse),RXN-19492
RXN-19618 (reverse),RXN-19618
RXN-19619 (reverse),RXN-19619
RXN-19629,RXN-19629
RXN-19953-Reduced-Cys2-Peroxiredoxins/BUTYL-HYDROPEROXIDE//2Cys-Peroxiredoxins-With-HydroxyCys/BUTANOL.93.,RXN-19953
RXN-19954,RXN-19954
RXN-20148-CPD-9956/OXYGEN-MOLECULE//SUPER-OXIDE/UBIQUINONE-8/PROTON.58. (reverse),RXN-20148
RXN-20161-Ox-Thioredoxin/a-reduced-DsbD-protein//Red-Thioredoxin/an-oxidized-DsbD-protein.80. (reverse),RXN-20161
RXN-20161-Ox-thioredoxins-1/a-reduced-DsbD-protein//Red-thioredoxins-1/an-oxidized-DsbD-protein.86. (reverse),RXN-20161
RXN-20161-Oxidized-CcmG-Proteins/a-reduced-DsbD-protein//Reduced-CcmG-Proteins/an-oxidized-DsbD-protein.94. (reverse),RXN-20161
RXN-20161-Oxidized-CcmH-Proteins/a-reduced-DsbD-protein//Reduced-CcmH-Proteins/an-oxidized-DsbD-protein.94. (reverse),RXN-20161
RXN-20691 (reverse),RXN-20691
RXN-20692,RXN-20692
RXN-20707,RXN-20707
RXN-20708,RXN-20708
RXN-21407,RXN-21407
RXN-21408,RXN-21408
RXN-21421 (reverse),RXN-21421
RXN-21422 (reverse),RXN-21422
RXN-21423,RXN-21423
RXN-21424,RXN-21424
RXN-21425,RXN-21425
RXN-21532,RXN-21532
RXN-21532 (reverse),RXN-21532
RXN-21532-CPD-23428//DIHYDROXY-ACETONE-PHOSPHATE/CPD-23427.49.,RXN-21532
RXN-21532-CPD-23428//DIHYDROXY-ACETONE-PHOSPHATE/CPD-23427.49. (reverse),RXN-21532
RXN-21563,RXN-21563
RXN-21601,RXN-21601
RXN-22001 (reverse),RXN-22001
RXN-22214,RXN-22214
RXN-22216,RXN-22216
RXN-22217,RXN-22217
RXN-22443,RXN-22443
RXN-22510,RXN-22510
RXN-23965,RXN-23965
RXN-24141,RXN-24141
RXN-24142,RXN-24142
RXN-24143,RXN-24143
RXN-24169,RXN-24169
RXN-24169-CPD-9115/WATER//CPD-258/ALPHA-D-GALACTOSE/PROTON.49.,RXN-24169
RXN-24169-CPD-9115/WATER//CPD-258/GALACTOSE/PROTON.41.,RXN-24169
RXN-24170,RXN-24170
RXN-24170-CPD-21655/WATER//CPD-258/ALPHA-GLUCOSE/PROTON.46.,RXN-24170
RXN-24170-CPD-21655/WATER//CPD-258/GLC/PROTON.36.,RXN-24170
RXN-7253,RXN-7253
RXN-8340,RXN-8340
RXN-8342,RXN-8342
RXN-8344,RXN-8344
RXN-8770,RXN-8770
RXN-8974 (reverse),RXN-8974
RXN-9510 (reverse),RXN-9510
RXN-9590,RXN-9590
RXN-9590 (reverse),RXN-9590
RXN-9628,RXN-9628
RXN0-1001,RXN0-1001
RXN0-1565,RXN0-1565
RXN0-1682,RXN0-1682
RXN0-1684,RXN0-1684
RXN0-1701,RXN0-1701
RXN0-1702,RXN0-1702
RXN0-1721,RXN0-1721
RXN0-1741-MALTOSE//MALTOSE.17.,RXN0-1741
RXN0-1981,RXN0-1981
RXN0-2061,RXN0-2061
RXN0-2162,RXN0-2162
RXN0-2441,RXN0-2441
RXN0-2461,RXN0-2461
RXN0-262,RXN0-262
RXN0-2721,RXN0-2721
RXN0-307 (reverse),RXN0-307
RXN0-313 (reverse),RXN0-313
RXN0-313__CPLX0-201 (reverse),RXN0-313
RXN0-3461,RXN0-3461
RXN0-3501-NITRATE/REDUCED-MENAQUINONE/PROTON//NITRITE/CPD-9728/WATER/PROTON.66.,RXN0-3501
RXN0-3601,RXN0-3601
RXN0-4022 (reverse),RXN0-4022
RXN0-4181,RXN0-4181
RXN0-4621,RXN0-4621
RXN0-5052,RXN0-5052
RXN0-5111,RXN0-5111
RXN0-5186,RXN0-5186
RXN0-5186__G7408-MONOMER,RXN0-5186
RXN0-5214,RXN0-5214
RXN0-5222,RXN0-5222
RXN0-5225,RXN0-5225
