"gene"	"num_peaks"	"peaks"	"areas"	"standard_devs"
"yfiL"	1	"[7.45]"	"[1943]"	"[0.0592]"
"yfiN"	1	"[8.49]"	"[1943]"	"[0.0542]"
"yfiB"	1	"[9.44]"	"[1943]"	"[0.047]"
"rplS"	1	"[11.84]"	"[1943]"	"[0.0755]"
"cysW"	1	"[9.59]"	"[1943]"	"[0.0663]"
"cysA"	1	"[9.22]"	"[1943]"	"[0.0806]"
"ptsH"	1	"[12.48]"	"[1943]"	"[0.0686]"
"xapA"	1	"[7.2]"	"[1943]"	"[0.061]"
"xapB"	1	"[7.08]"	"[1943]"	"[0.0356]"
"yfjJ"	1	"[5.64]"	"[1943]"	"[0.0908]"
"yfjP"	1	"[7.86]"	"[1943]"	"[0.0403]"
"glk"	1	"[9.66]"	"[1943]"	"[0.0503]"
"alaC"	1	"[9.51]"	"[1943]"	"[0.0359]"
"frc"	1	"[6.87]"	"[1943]"	"[0.0703]"
"yfjZ"	1	"[7.53]"	"[1943]"	"[0.0638]"
"fadJ"	1	"[9.57]"	"[1943]"	"[0.077]"
"mepA"	1	"[9.31]"	"[1943]"	"[0.0534]"
"pdxB"	1	"[9.52]"	"[1943]"	"[0.0739]"
"pka"	1	"[9.14]"	"[1943]"	"[0.0763]"
"hemX"	1	"[10.5]"	"[1943]"	"[0.0438]"
"yecF"	1	"[9.6]"	"[1943]"	"[0.0788]"
"rhtC"	1	"[8.87]"	"[1943]"	"[0.0452]"
"ybaK"	1	"[9.53]"	"[1943]"	"[0.0342]"
"fsr"	1	"[7.82]"	"[1943]"	"[0.0537]"
"ybaL"	1	"[10.19]"	"[1943]"	"[0.0426]"
"prmC"	1	"[9.06]"	"[1943]"	"[0.0481]"
"htpG"	1	"[9.99]"	"[1943]"	"[0.0712]"
"dnaX"	1	"[10.24]"	"[1943]"	"[0.0459]"
"ybaN"	1	"[9.37]"	"[1943]"	"[0.0535]"
