lambda_sec,lambda_eff,lambda_kin,lambda_div,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,,,
4.0434E-05,4.75E-08,0.000114497,0.000374029,0.004066779,3.69E-12,24.01432149,367.8847646,32.11263894,0.003463359,,,
0.000299117,1.26E-07,0.00011303,0.001617493,0.007208042,4.46E-12,39.03242506,254.6902424,9.222626912,0.003446815,,,
8.75E-10,2.38E-07,0.000112726,3.58E-08,0.00258779,5.01E-12,22.04554586,431.783694,52.28337865,0.011928736,,,
7.14E-10,1.0589E-05,0.000111841,3.88212E-05,0.006479087,3.45E-12,30.16696033,293.2285489,20.42196331,0.004296718,,,
2.36E-10,2.43E-08,0.000108783,1.3592E-05,0.002408772,3.82E-12,22.04554586,433.407321,52.67747954,0.003744619,,,
1.08E-10,6.77E-07,0.000107826,0.000218475,0.00267035,5.85E-12,22.04576646,431.8033209,52.28622459,0.003459223,,,
1.10885E-05,7.71E-06,0.000106582,5.76E-09,0.005701333,3.48E-12,30.1669693,293.2202816,20.42161681,0.012062472,,,
9.84E-09,1.05E-09,0.000102839,3.24E-09,0.00226804,5.83E-12,22.04554586,459.7885015,42.78068458,0.011690216,,,
2.39E-07,2.06E-07,0.000101876,2.86E-08,0.002344694,1.54E-12,22.04554586,432.3843622,41.4725003,0.011934251,,,
0.000339752,1.93E-09,9.73006E-05,2.06E-09,0.006825409,9.96E-13,42.55703982,256.4865775,7.900128045,0.01207626,,,
4.50E-08,3.18E-09,9.60103E-05,4.46635E-05,0.002120001,7.69E-12,22.04555551,434.8230901,41.13526819,0.003717045,,,
4.63E-10,5.13E-10,1.55E-10,1.39E-07,4.73E-06,1.85E-12,909.9366628,8923.731822,9.59980334,0.003438542,,,
0.000229121,1.11E-10,9.48172E-05,0.004223089,0.005856218,6.93E-12,39.02896512,249456.7924,9.223986048,0.003438542,,,
8.03746E-05,2.18111E-05,9.41572E-05,0.00172207,0.009943671,4.24E-12,39.0519866,252.37287,9.408299278,0.003446815,,,
8.72E-10,1.81999E-05,9.22962E-05,1.68E-08,0.008061918,1.43E-12,32.36556842,278.8303469,17.48349186,0.012081207,,,
1.73883E-05,1.78E-09,0.005730238,1.14E-06,0.089521319,0.019302018,12.17970827,310.7176749,24.50626022,0.00418719,,,
4.61E-09,6.46E-10,9.04978E-05,4.22E-09,0.001998532,7.30E-12,22.04554586,5059.182909,41.14316406,0.011138726,,,
0.000179526,5.17E-10,0.005504834,1.14E-08,0.09075095,0.019358621,12.17078173,4907.939315,24.4625839,0.004322306,,,
1.94E-10,2.14E-10,8.44349E-05,0.00024822,0.001915833,1.62E-11,22.04578852,249671.5624,51.16990903,0.003448193,,,
1.67E-08,1.99E-09,8.2918E-05,1.54E-10,0.001829531,5.69E-12,22.04554586,436.4603603,41.14319537,0.011931493,,,
2.53E-08,2.69E-09,8.19179E-05,5.71E-10,0.001808139,5.03E-12,22.04554586,436.4335619,41.13427069,0.011939766,,,
1.34E-10,2.70E-10,8.17706E-05,2.29E-06,0.001870053,8.03E-12,22.04554586,249633.4445,53.69462642,0.003744619,,,
5.97E-09,9.14E-08,7.77737E-05,9.88E-06,0.001754387,3.75E-12,22.04554586,431.8023034,52.14276083,0.003744619,,,
4.58E-10,8.7565E-05,4.71E-06,0.000817703,0.010536748,0.000132483,109.2546794,112.9039536,8.546571846,0.003552976,,,
7.91E-06,1.09E-06,7.44959E-05,0.000220885,0.002426763,7.53E-12,22.19886003,422.3475243,39.45105661,0.003453708,,,
6.87E-09,8.34E-07,0.002733958,2.03E-08,0.052807153,0.018850181,12.32793066,303.014269,25.47430081,0.011888753,,,
1.62E-09,4.80E-08,7.05081E-05,1.08814E-05,0.001575236,4.21E-12,22.04554586,431.8907837,52.17225425,0.003744619,,,
3.14E-06,2.16E-08,6.85426E-05,1.63E-10,0.001649216,6.53E-12,22.04554586,433.6717951,40.97213578,0.011983885,,,
1.08E-10,5.45E-09,6.84359E-05,6.31E-08,0.001511076,5.39E-12,22.04554586,433.9000747,41.82326589,0.004056211,,,
6.57338E-05,7.13796E-05,2.96E-10,3.97537E-05,0.008752957,0.000132484,109.2839696,112.8926478,8.545540626,0.012130989,,,
0.00071944,3.70E-10,6.72752E-05,0.000112293,0.008634864,9.06E-12,42.68425149,249452.1839,7.881916113,0.004310707,,,
4.03821E-05,7.77E-08,6.65345E-05,1.82E-09,0.002831838,4.28E-13,30.599251,292.4757275,19.14700926,0.012109349,,,
4.0773E-05,2.23E-08,6.39157E-05,1.70E-06,0.002742863,3.50E-12,30.76350597,292.7346617,18.88613421,0.00468491,,,
1.81E-08,1.62E-09,6.19581E-05,1.24E-06,0.001367381,1.07E-11,22.04554586,445.1844014,41.77764402,0.003744619,,,
6.43E-10,9.81E-08,6.12987E-05,0.004095789,0.001407873,3.78E-12,22.04582161,431.8070398,52.14386043,0.003438542,,,
6.83E-10,4.40E-10,6.11734E-05,2.62E-06,0.001457007,1.18E-11,22.04554586,246033.4445,53.69462642,0.003744619,,,
7.23E-10,1.78035E-05,5.86576E-05,2.68E-06,0.006750862,1.78E-12,36.97793039,257.3530725,12.88630078,0.012083964,,,
0.000635016,2.02E-07,0.003136256,0.002409421,0.072866533,0.019302018,12.34322179,292.5245849,23.28339975,0.003557113,,,
