lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,fraction_kinetic_target,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,toya_pearson_r_squared,toya_r_squared
0.002259528,2.62E-07,2.26E-07,2.34629E-05,5.95803E-05,1,0.000320933,0.000334853,10.6370162,283.9550076,24.29538166,0.001829444,7.57E-07,0.000249575,6.41235E-05,6.37E-06,1.09E-07,0.694279841,-49.07023366
0.768586928,4.99E-07,1.15E-06,0.001211694,0.003111284,1,0.013270246,2.57E-12,10.6634088,286.8509094,25.07373537,0.001829444,1.98E-12,0.012920791,0.000331263,1.24999E-05,5.69E-06,0.620862218,-42.65124372
0.531792334,8.41205E-05,1.71E-07,0.000723383,0.00317852,1,0.009820843,1.70E-12,10.66341098,288.5704863,24.39452513,0.001828719,9.06E-13,0.007713733,4.92175E-05,0.00205208,5.81E-06,0.623580177,-42.37421699
0.125638112,2.05636E-05,8.64115E-05,0.001415303,0.000376659,1,0.038380183,0.00648999,13.78093123,205.1200949,16.29253499,0.002209024,0.00081539,0.019504199,0.017724729,0.000335033,8.32E-07,0.62191122,-10.48603889
0.006274944,6.45253E-05,8.81E-07,0.000930786,1.38944E-05,1,0.011247929,0.013763988,10.138033,272.754405,23.01221055,0.002211925,8.63683E-05,0.009436337,0.000240323,0.00148487,3.07E-08,0.691614337,-40.53563295
0.808219142,2.62941E-05,6.29796E-05,0.004225241,3.79213E-05,1,0.063705115,8.78608E-05,10.66334682,284.8095107,24.3955572,0.00622829,7.10108E-05,0.04505521,0.017937197,0.00064146,2.36E-07,0.620862631,-42.64891106
0.216896584,9.02E-06,1.11734E-05,0.004285863,1.47316E-05,1,0.048649125,0.004879173,10.33495627,276.0192571,23.56156668,0.002446744,0.001058276,0.04429421,0.003084079,0.000212524,3.60E-08,0.695037807,-43.11150705
0.141472024,7.14E-07,4.99E-06,8.37625E-05,3.46349E-05,1,0.002290921,3.0587E-05,12.33725326,248.1380179,20.00520385,0.002153916,4.33E-06,0.0010334,0.001238837,1.42824E-05,7.46E-08,0.689511472,-25.68081021
0.022288688,9.56E-07,2.67E-06,3.52563E-05,0.000335169,1,0.001092846,0.000118374,15.39363942,199.9988807,13.48823909,0.001828719,2.64E-06,0.000542722,0.000533972,1.29003E-05,6.13E-07,0.642792993,-8.297100904
0.006557294,6.94725E-05,1.15383E-05,0.006017727,0.003651913,1,0.05703486,0.536931195,7.95813846,321.3370143,27.48871036,0.001850097,0.003520816,0.047889907,0.00370767,0.001909711,6.76E-06,0.706504372,-78.71216902
0.001946135,3.81836E-05,1.14505E-05,0.001377589,0.000911403,1,0.016116925,0.870649382,8.020216958,222.6070264,21.5616911,0.001850097,0.001694401,0.011048564,0.002548971,0.000823303,1.69E-06,0.492227335,-2.799025554
0.510278405,1.20E-06,1.08E-07,0.00818337,0.000634905,1,0.087029177,0.004390925,10.35378362,280.8794444,23.64678011,0.001894328,0.002240594,0.084728845,3.02053E-05,2.83298E-05,1.20E-06,0.619292023,-37.96963718
0.023298549,1.32E-06,5.28873E-05,0.000309647,0.001753318,1,0.013867876,0.009173821,18.35983287,150.4619854,6.303975431,0.001846484,0.000213737,0.00568507,0.007957525,8.31E-06,3.24E-06,0.734111474,0.051658166
0.004046598,7.82E-07,1.27E-06,0.007704245,0.000831255,1,0.060880315,3.458371088,6.02847326,327.051761,30.50088848,0.0018762,0.013994639,0.046444833,0.000415439,2.38449E-05,1.56E-06,0.703711507,-89.72889823
